20240619	18:47:58	f1c97862-8030-4684-8484-aed2f639e669	Error: Not allowed by CORS	OPTIONS	/	https://www.google.com
20240619	18:47:58	f97ab4c1-bae3-4c58-9591-13e86a2c1002	Error: Not allowed by CORS	GET	/	https://www.google.com
20240620	11:13:46	1c740f86-9c61-4abc-8022-67d3219c7987	SyntaxError: Expected double-quoted property name in JSON at position 42	POST	/users	undefined
20240620	11:14:43	69c4203a-36d7-4cdb-abfe-f0ef1e0f934c	SyntaxError: Expected ',' or ']' after array element in JSON at position 65	POST	/users	undefined
20240620	14:36:39	370b7ae6-e09f-45b3-94e2-c38f018699f0	Error: Not allowed by CORS	GET	/notes	http://localhost:3000
20240620	14:36:40	6a7cbf1e-2793-4db2-b01a-352c82b4038e	Error: Not allowed by CORS	GET	/notes	http://localhost:3000
20240620	14:39:52	a5403cd6-9697-4a56-97a6-aa20eb2a2595	Error: Not allowed by CORS	GET	/notes	http://localhost:3000
20240620	14:50:02	be2340b8-5136-4a5f-99a5-3fb1bfa66ab7	Error: Not allowed by CORS	GET	/users	http://localhost:3000
20240620	14:51:36	cf16788c-7295-46e6-b68b-39c72a4a047b	Error: Not allowed by CORS	GET	/users	http://localhost:3000
20240620	15:49:36	16bebf91-6f89-40d8-b4f3-2a204c4cbd45	Error: Not allowed by CORS	GET	/users	http://localhost:3000
20240620	15:51:50	1788c84d-def8-463f-8516-41e24e0fae08	Error: Not allowed by CORS	GET	/notes	http://localhost:3000
20240620	15:53:29	272e54bd-73bf-4705-90ef-17f0eaa365da	Error: Not allowed by CORS	GET	/users	http://localhost:3000
20240620	16:09:04	41973fea-f909-42b0-8694-eab8458da0a0	Error: Not allowed by CORS	GET	/notes	http://localhost:3000
20240620	16:58:02	74cb353e-5322-44d5-b7e5-55b24cd25acc	Error: Not allowed by CORS	GET	/users	http://localhost:3000
20240620	18:05:13	6fcaf224-1521-44d7-9a26-dab34c3cd6f6	ValidationError: Note validation failed: user: Cast to ObjectId failed for value "muhmin" (type string) at path "user" because of "BSONError"	POST	/notes	undefined
20240620	18:05:48	72f44a10-d81b-4486-a4fd-c54386628537	ValidationError: Note validation failed: user: Cast to ObjectId failed for value "muhmin" (type string) at path "user" because of "BSONError"	POST	/notes	undefined
20240620	18:06:25	ad9ebab2-ba83-4868-9c62-5a1cae3794de	ValidationError: Note validation failed: user: Cast to ObjectId failed for value "username" (type string) at path "user" because of "BSONError"	POST	/notes	undefined
20240620	18:14:14	95c59598-8df3-4b59-98fc-bbd13192c2f5	ValidationError: Note validation failed: user: Cast to ObjectId failed for value "username" (type string) at path "user" because of "BSONError"	POST	/notes	undefined
20240620	18:16:41	a72350e7-0a46-414f-aee2-3827fd734480	ValidationError: Note validation failed: user: Cast to ObjectId failed for value "undefined" (type string) at path "user" because of "BSONError"	POST	/notes	undefined
20240620	18:20:18	1983b568-5600-4586-a3b1-353c5053f421	ValidationError: Note validation failed: user: Cast to ObjectId failed for value "username" (type string) at path "user" because of "BSONError"	POST	/notes	undefined
20240620	18:37:22	cac5a289-4efb-48af-b16e-4f2790ecd135	ValidationError: Note validation failed: user: Cast to ObjectId failed for value "mongoose.Schema.Types.ObjectId" (type string) at path "user" because of "BSONError"	POST	/notes	undefined
20240620	19:05:54	df7c660f-9b54-42b2-80fa-19e79ec7db99	ValidationError: Note validation failed: user: Cast to ObjectId failed for value "User" (type string) at path "user" because of "BSONError"	POST	/notes	undefined
20240620	19:06:49	87c9209d-7953-4513-9a54-687f90b28169	ValidationError: Note validation failed: user: Cast to ObjectId failed for value "{}" (type string) at path "user" because of "BSONError"	POST	/notes	undefined
20240620	19:07:43	7b12df90-cac2-4c52-a085-22767a881f2c	ValidationError: Note validation failed: user: Cast to ObjectId failed for value "{}" (type string) at path "user" because of "BSONError"	POST	/notes	undefined
20240620	19:07:59	5c9e0c41-f5bb-409d-8295-12493eee41f3	ValidationError: Note validation failed: user: Cast to ObjectId failed for value "{}" (type string) at path "user" because of "BSONError"	POST	/notes	undefined
20240620	19:08:58	5ad41e27-ac60-4230-a819-0e3f04d66174	ValidationError: Note validation failed: user: Cast to ObjectId failed for value "User" (type string) at path "user" because of "BSONError"	POST	/notes	undefined
20240620	19:09:10	28bd3580-7e9f-4984-b270-9fe7a87ee969	SyntaxError: Unexpected token 'U', ..."
  "user":User,
  ""... is not valid JSON	POST	/notes	undefined
20240620	19:09:44	f179b70f-be38-493b-9acb-d18c53140470	ValidationError: Note validation failed: user: Cast to ObjectId failed for value "ref" (type string) at path "user" because of "BSONError"	POST	/notes	undefined
20240620	19:57:09	c7324a98-e9f9-4971-93de-c36ff750b0fd	ValidationError: Note validation failed: user: Cast to ObjectId failed for value "ref" (type string) at path "user" because of "BSONTypeError"	POST	/notes	undefined
20240620	19:57:27	7a43e127-a20d-4a75-a1f1-c06199a99e9e	ValidationError: Note validation failed: user: Cast to ObjectId failed for value "{}" (type string) at path "user" because of "BSONTypeError"	POST	/notes	undefined
20240620	21:56:20	c2b321dc-49ca-4f31-83ed-e4fdbaebb4d4	MongooseServerSelectionError: Could not connect to any servers in your MongoDB Atlas cluster. One common reason is that you're trying to access the database from an IP that isn't whitelisted. Make sure your current IP address is on your Atlas cluster's IP whitelist: https://docs.atlas.mongodb.com/security-whitelist/	GET	/users	http://localhost:3000
